,date,price,note,status,data_index,instru,unit
462,20030903,153.435,exit,long,818,5,0
463,20030903,220.4875,exit,short,825,18,0
464,20030903,2.4159500000000005,exit,long,813,15,0
465,20030903,0.6166,exit,long,1122,25,0
466,20030903,1.4705,entry,short,814,2,0
467,20030904,19.89,entry,short,807,29,0
468,20030905,1421.5,exit,long,842,34,0
469,20030908,93.985,entry,long,817,9,0
470,20030911,51.3594,exit,short,832,33,0
471,20030911,78.03909999999999,exit,short,830,12,0
472,20030918,80.88,entry,long,817,6,0
473,20030918,1.5259999999999998,exit,short,827,2,0
474,20030919,0.7365999999999999,entry,long,826,4,0
475,20030919,0.32015,entry,long,826,0,0
476,20030922,52.095,entry,long,829,1,0
477,20030922,98.19800000000001,entry,short,847,8,0
478,20030923,0.2909,entry,long,828,19,0
479,20030923,1.0018,exit,short,833,30,0
480,20030923,1.5651,entry,long,828,2,0
481,20030930,1.3370000000000002,entry,long,833,7,0
482,20031001,95.1225,exit,short,835,11,0
483,20031001,79.9375,entry,long,834,12,0
484,20031006,683.25,exit,long,926,13,0
485,20031009,1.026,entry,long,840,30,0
486,20031010,31.3545,exit,short,839,20,0
487,20031013,2.50285,entry,long,839,15,0
488,20031015,95.0575,entry,short,843,11,0
489,20031016,78.26570000000001,exit,long,967,12,0
490,20031016,226.475,entry,long,849,18,0
491,20031017,481.75,entry,short,849,3,0
492,20031020,264.375,entry,short,850,22,0
493,20031023,218.4,exit,long,868,18,0
494,20031024,502.75,exit,short,858,3,0
495,20031027,281.125,exit,short,903,22,0
496,20031028,30.058999999999997,entry,short,850,20,0
497,20031029,2.4218,exit,long,1123,15,0
498,20031103,90.94,exit,long,866,6,0
499,20031104,98.02799999999999,exit,short,962,8,0
500,20031104,0.9978499999999999,exit,long,934,30,0
501,20031104,1.18425,exit,long,930,16,0
502,20031105,53.91,exit,long,991,1,0
503,20031106,1.31745,exit,long,937,7,0
504,20031110,331.0,exit,long,995,28,0
505,20031111,1436.5,entry,long,866,34,0
506,20031112,216.35,entry,short,868,18,0
507,20031113,14.55,entry,long,867,26,0
508,20031117,19.905,exit,short,870,29,0
509,20031117,155.93,entry,long,864,5,0
510,20031117,1152.1,entry,long,864,31,0
511,20031120,1414.375,exit,long,946,34,0
512,20031125,154.3,exit,long,1015,5,0
513,20031202,94.005,exit,long,967,9,0
514,20031203,30.7375,exit,short,876,20,0
515,20031212,95.075,exit,short,893,11,0
516,20031218,55.96875,entry,long,887,33,0
