,date,price,note,instru,left_equity,unit
356,20180524,1371.3,Exit,1,-458734.94374999404,0
357,20180524,1.3747500000000001,Exit,5,1279636.4312500062,0
358,20180919,124.0375,Entry,10,163298.9312500062,9000
359,20181005,79.62,Exit,3,1238168.9312500062,0
360,20181116,75.64,Exit,4,2316038.931250006,0
361,20181226,140.39065,Entry,6,561155.806250006,12500
362,20190110,1354.35,Entry,1,-793194.193749994,1000
363,20190326,98.19999999999999,Entry,2,-26226994.19374999,259000
364,20190408,81.785,Entry,4,-27106182.94374999,10750
365,20190410,923.55,Entry,9,-27798845.44374999,750
366,20190424,1317.95,Exit,1,-26480895.44374999,0
367,20190515,119.9125,Exit,10,-25401682.94374999,0
368,20190516,860.0,Exit,9,-24756682.94374999,0
369,20190603,70.385,Exit,4,-24000044.19374999,0
370,20190605,1379.4499999999998,Entry,1,-25379494.19374999,1000
371,20190612,0.946125,Entry,0,-27868512.53749999,2630750
372,20190829,937.4,Entry,9,-28571562.53749999,750
373,20191016,0.9332,Exit,0,-26116546.63749999,0
374,20191105,125.775,Entry,10,-27342852.88749999,9750
375,20191205,1.3201999999999998,Entry,5,-29580921.937499993,1695250
376,20191216,77.75,Entry,4,-30358421.937499993,10000
377,20191231,1543.3,Exit,1,-28815121.937499993,0
378,20191231,978.7,Exit,9,-28081096.937499993,0
379,20191231,98.615,Exit,2,-2539811.9374999925,0
380,20191231,153.25,Exit,6,-624186.9374999925,0
381,20191231,1.3316,Exit,5,1633207.9625000074,0
382,20191231,78.75,Exit,4,2420707.9625000074,0
383,20191231,125.625,Exit,10,3645551.7125000074,0
