,date,open,high,low,close,volume,open_volume,fast_lag,slow_lag,atr,last_high1,last_high2,last_low1,last_low2
173,20010209,1124.3,1126.3,1099.3,1109.3,211,1040,1083.4513129627337,1003.7896400976946,19.639179295596502,1182.1,1182.1,903.3,1081.3
174,20010212,1079.3,1079.3,1064.3,1064.4,381,954,1082.7042026504696,1004.9898452442749,20.141373764990632,1182.1,1182.1,907.15,1085.3
175,20010213,1064.3,1089.3,1060.3,1082.85,247,907,1082.7099201935885,1006.5316304869625,20.316792106277948,1182.1,1182.1,917.3,1064.4
176,20010214,1079.3,1079.3,1074.3,1074.45,194,865,1082.3860017546242,1007.8765486951414,20.083786321995216,1182.1,1182.1,938.9,1064.4
177,20010215,1071.3,1087.3,1069.3,1084.3,216,783,1082.4610605093449,1009.3898843645445,20.042523226510163,1182.1,1182.1,955.75,1064.4
178,20010216,1086.3,1086.3,1075.3,1078.3,79,754,1082.297881665841,1010.7544411098011,19.863463360638676,1182.1,1182.1,955.75,1064.4
179,20010220,1074.8,1074.8,1072.8,1072.3,58,977,1081.9058078750238,1011.9731650482208,19.579038343596327,1182.1,1182.1,955.75,1064.4
180,20010221,1064.8,1064.8,1032.8,1037.45,257,1137,1080.162442860317,1012.4776568294442,19.973512831841944,1182.1,1182.1,992.75,1064.4
181,20010222,1004.8,1014.8,994.8,997.55,149,1177,1076.9227392187358,1012.1820596645047,20.42255218170646,1182.1,1182.1,992.75,1037.45
182,20010223,949.8,979.8,949.8,959.8,347,1165,1072.3296906219227,1011.1447911562966,20.96368976226673,1182.1,1182.1,992.75,997.55
183,20010226,961.8,961.8,954.8,960.75,164,1235,1067.9540164798866,1010.1468744997363,20.687181054103032,1182.1,1182.1,959.8,959.8
184,20010227,957.8,961.8,947.8,959.8,345,1204,1063.712682500283,1009.1499066878604,20.55476162728911,1182.1,1182.1,959.8,959.8
185,20010228,956.8,956.8,944.8,946.8,208,1210,1059.1278714218406,1007.9152550702789,20.44476634754081,1182.1,1182.1,959.8,959.8
186,20010301,928.8,928.8,896.8,904.35,239,1184,1053.0581509739252,1005.8644579401744,21.030018499074654,1182.1,1182.1,946.8,946.8
187,20010302,884.8,894.8,854.8,870.8,199,1193,1045.9107725043596,1003.1899142185868,21.59477060800387,1182.1,1182.1,904.35,904.35
188,20010305,857.8,879.8,849.8,879.8,123,1236,1039.3966245630122,1000.7465495805949,21.76121079398399,1182.1,1182.1,870.8,870.8
189,20010306,883.8,886.8,876.8,876.95,56,1236,1033.026168697796,998.2951327572167,21.528315530736784,1182.1,1182.1,870.8,870.8
190,20010307,877.8,904.8,877.8,901.45,73,1225,1027.8663189449412,996.3774073560837,21.65349740141526,1182.1,1182.1,870.8,870.8
191,20010308,914.8,964.8,914.8,926.3,92,1262,1023.8833260451396,994.98973592329,22.479170720199114,1182.1,1182.1,870.8,870.8
192,20010309,929.8,929.8,909.8,917.15,99,1243,1019.6977054159184,993.448355013918,22.43007823069022,1182.1,1182.1,870.8,870.8
193,20010312,899.8,899.8,884.8,887.0,67,1235,1014.4938738309804,991.3404667958206,22.626512325131998,1182.1,1182.1,870.8,870.8
194,20010313,883.8,893.8,883.8,893.8,20,1239,1009.7607807395694,989.4089724038241,22.37648237809968,1182.1,1182.1,870.8,870.8
195,20010314,904.8,904.8,902.8,904.8,13,1234,1005.6446716909588,987.7335472077087,22.151205499325428,1182.1,1175.8,870.8,870.8
196,20010315,904.8,907.8,902.8,905.8,17,1236,1001.7291943697447,986.1111007283482,21.81157766765562,1182.1,1171.3,870.8,870.8
197,20010316,909.8,915.8,909.8,915.3,49,1247,998.3398141983822,984.7089007139255,21.57768504057333,1182.1,1141.2,870.8,870.8
198,20010319,909.8,913.8,909.8,912.8,6,1246,994.9853116807986,983.284962085927,21.259315039769895,1182.1,1109.3,870.8,870.8
199,20010320,899.8,901.8,896.8,901.8,9,1235,991.330985732532,981.671398480265,21.155170187497223,1182.1,1084.3,870.8,870.8
